"","[0,6)","[6,12)","[12,18)","[18,24)","[24,30)","[30,36)","[36,42)","[42,48)","[48,54)","[54,60)","[60,Inf)"
"[0,6)",2.16662880475648,0.381950919722615,0.0467837979777262,0.0630234886636813,0.150044495996816,0.205495713578328,0.181131412687221,0.162281931837594,0.138760443659388,0.0864586872061373,0.0337702881178196
"[6,12)",0.370078035735315,5.40681202064059,0.476055457706759,0.118514312600599,0.191557460326661,0.297109934046588,0.282533747892913,0.276265790136415,0.310720685339557,0.213712679606989,0.0665143464302359
"[12,18)",0.0421750555304259,0.447913121501946,6.83579189678472,0.57377349583696,0.174221832829173,0.198647963116851,0.263277668264762,0.280172889235889,0.276189934328956,0.184341560277821,0.0477721583747974
"[18,24)",0.0609853847077903,0.118524370955125,0.612753703369978,2.22889336285158,0.287632385718023,0.119897351016398,0.134049158545862,0.17666943826556,0.155081047256571,0.0840912485935815,0.0237235159991083
"[24,30)",0.153803221838965,0.202935470996691,0.19810149579192,0.304559666876917,0.323398005520303,0.117809781057174,0.0500816967354874,0.0526124770167765,0.0614059894713675,0.0382766444120752,0.0127128094452974
"[30,36)",0.190337735033719,0.284415219096547,0.204101435106842,0.114764716905106,0.106471763182069,0.17514116023829,0.0832736100589712,0.0364790913252896,0.0428986410105661,0.0480635388119851,0.0220025916431373
"[36,42)",0.14398126819831,0.232111191023537,0.232148592910095,0.110116648431073,0.0388370192483157,0.0714757001056693,0.112320835217472,0.0576556567557561,0.0377185090035363,0.0419396461464578,0.0253989552720075
"[42,48)",0.104914581999929,0.184589215761818,0.200923903476831,0.118033092502048,0.0331824975259119,0.0254617100236439,0.0468962708450412,0.0549287780950448,0.0385265834617135,0.0189882098145295,0.00924278234846017
"[48,54)",0.0763057275690872,0.176593678571511,0.168476416778117,0.0881306260337207,0.0329425207157762,0.0254690568401999,0.0260935852195086,0.0327722294920149,0.0520091585341987,0.0279297505363183,0.00797244992900243
"[54,60)",0.038111924070647,0.0973634729196923,0.0901395341426276,0.0383071383979452,0.0164604131357111,0.0228741967236611,0.023257593701473,0.0129470425089837,0.022389510538116,0.0218896522024821,0.0095639164862319
"[60,Inf)",0.0127483469710876,0.0259506336398051,0.0200047802519911,0.00925496618685009,0.00468182614447197,0.00896748828779686,0.0120620949341731,0.005397046374953,0.00547292443208433,0.00819052886513395,0.0136819550645624
