,"[0,6)","[6,12)","[12,18)","[18,24)","[24,30)","[30,36)","[36,42)","[42,48)","[48,54)","[54,60)","[60,Inf)"
"[0,6)",2.537637248,1.515747251,0.562791081,0.546436659,1.157794778,1.91052409,1.47597083,0.823119462,0.667875709,0.690001902,0.606207992
"[6,12)",1.466605339,4.983048942,1.809809279,0.592324359,0.638153943,1.261451046,1.657092499,1.056013283,0.588233235,0.497835341,0.511265337
"[12,18)",0.507349679,1.686190074,5.528758543,1.944151591,0.772674518,0.763160185,1.186946987,1.352549496,0.853772464,0.458080709,0.328345308
"[18,24)",0.528765563,0.592374633,2.086859764,5.686446668,2.401852334,1.333824866,1.213874731,1.528647244,1.612487549,0.995331253,0.464480561
"[24,30)",1.186798388,0.676058621,0.878580922,2.54430013,4.513147003,2.719935581,1.846825061,1.658120954,1.872078692,1.748925376,0.924475449
"[30,36)",1.769598119,1.207552603,0.78411118,1.276725729,2.457736866,3.522076159,2.395521851,1.707025645,1.517583101,1.536810784,1.243434754
"[36,42)",1.173248475,1.36135848,1.046606324,0.997155199,1.432163538,2.055844328,2.661716872,1.845383712,1.323862599,1.047997567,0.972193103
"[42,48)",0.532143248,0.705583786,0.969970812,1.021291304,1.045770841,1.191471343,1.500859878,1.938201113,1.369380707,0.857588034,0.585480131
"[48,54)",0.367271397,0.334313978,0.520802923,0.916356573,1.004315563,0.900993826,0.915845368,1.164796285,1.580129453,1.010147807,0.514277873
"[54,60)",0.304160297,0.226804403,0.223992799,0.453415697,0.752104435,0.731392505,0.581166124,0.58474332,0.8097402,1.175419401,0.635987595
"[60,Inf)",0.228844651,0.199470636,0.137495903,0.181202143,0.340462376,0.506780598,0.461699527,0.341873614,0.353041284,0.544647502,0.831818358
