"","[0,6)","[6,12)","[12,18)","[18,24)","[24,30)","[30,36)","[36,42)","[42,48)","[48,54)","[54,60)","[60,Inf)"
"[0,6)",1.49922981796662,0.733102681416887,0.221046680641086,0.191310319357951,0.412601377993927,0.784078839834462,0.666076150319567,0.395063031527939,0.32810365852691,0.320977942147398,0.284274062339943
"[6,12)",0.709334819365945,3.58523762158374,1.07938663926445,0.312163409317856,0.28095714321747,0.439831415928758,0.521124719113174,0.356149043303279,0.23264062535842,0.220300770524702,0.23025803678621
"[12,18)",0.199271038988597,1.00565902359157,4.33259399321998,1.29125759139591,0.448341728475298,0.375520535082742,0.436416906754618,0.44377363581469,0.297616004156465,0.173861348993904,0.137392118015085
"[18,24)",0.185123573321613,0.312189902744449,1.38604084363231,3.94627086775726,1.30214409374378,0.655058955853208,0.518894800898178,0.550742094135762,0.564315568810472,0.366060782542315,0.196264591109996
"[24,30)",0.422937348345047,0.297645260547371,0.509793552246567,1.379370969529,2.43044135274339,1.1937307505496,0.748199001017604,0.624141803736776,0.724710772197889,0.736372706094102,0.434842198743785
"[30,36)",0.726242839148429,0.421038592763131,0.38582968040499,0.627016818865045,1.07865645576499,1.49720752929118,0.891829040957411,0.631368314939064,0.591578511376634,0.676564313893168,0.610361394091603
"[36,42)",0.52946359450784,0.428121879694923,0.384816424017309,0.426253748871296,0.580208357507608,0.765370468154939,1.04222029175094,0.673216492084203,0.516581359067959,0.460160077156365,0.484457962880962
"[42,48)",0.255406577596438,0.237963855623283,0.318248961957635,0.3679515437423,0.39364396114081,0.440683042506337,0.547530368308789,0.691481443324251,0.461103196972611,0.342099554456884,0.295856340832415
"[48,54)",0.180427416644985,0.132217987908737,0.181546362570844,0.320693503427027,0.388786172677944,0.351222005563796,0.357369898009108,0.39221473506618,0.551833713069705,0.39068322714634,0.277902732806062
"[54,60)",0.141490547159335,0.100364883097314,0.0850149091724102,0.166756247450688,0.316668275141347,0.321987635424425,0.255181364067019,0.233259349729141,0.313173889563324,0.544851330633091,0.354187654997264
"[60,Inf)",0.107313990598673,0.089835385536367,0.0575334927864049,0.0765663131243805,0.160142066437676,0.248761997750706,0.23007158669737,0.172756463540706,0.190774563611165,0.303319472177252,0.447013547721089
