,"[0,6)","[6,12)","[12,18)","[18,24)","[24,30)","[30,36)","[36,42)","[42,48)","[48,54)","[54,60)","[60,Inf)",,,"[0,6)","[6,12)","[12,18)","[18,24)","[24,30)","[30,36)","[36,42)","[42,48)","[48,54)","[54,60)","[60,Inf)"
"[0,6)",4.704266055,1.89769818,0.609574874,0.609460152,1.307839273,2.116019805,1.657102248,0.985401397,0.806636156,0.776460584,0.639978276,,"[0,6)",4.704266053,1.897698171,0.609574879,0.609460148,1.307839274,2.116019803,1.657102243,0.985401393,0.806636152,0.776460589,0.63997828
"[6,12)",1.836683378,10.38986096,2.285864739,0.710838675,0.829711403,1.558560979,1.939626244,1.332279074,0.898953916,0.711548022,0.577779678,,"[6,12)",1.836683375,10.38986096,2.285864737,0.710838672,0.829711404,1.55856098,1.939626247,1.332279073,0.898953921,0.71154802,0.577779683
"[12,18)",0.549524734,2.134103194,12.36455044,2.517925085,0.946896355,0.961808153,1.450224654,1.632722384,1.1299624,0.642422267,0.37611747,,"[12,18)",0.549524735,2.134103195,12.36455044,2.517925087,0.946896351,0.961808148,1.450224655,1.632722385,1.129962398,0.642422269,0.376117466
"[18,24)",0.589750942,0.710899004,2.699613464,7.915340025,2.689484717,1.453722216,1.347923882,1.70531668,1.767568589,1.079422502,0.488204081,,"[18,24)",0.589750948,0.710899004,2.699613467,7.915340031,2.689484719,1.453722217,1.347923889,1.705316682,1.767568596,1.079422501,0.488204077
"[24,30)",1.340601616,0.878994084,1.076682418,2.848859791,4.836545007,2.837745359,1.896906756,1.710733423,1.933484685,1.787202019,0.937188264,,"[24,30)",1.34060161,0.878994092,1.076682418,2.848859796,4.836545008,2.837745362,1.896906758,1.710733431,1.933484682,1.787202021,0.937188258
"[30,36)",1.959935855,1.491967825,0.988212621,1.391490447,2.564208627,3.697217323,2.478795462,1.743504735,1.560481745,1.584874319,1.265437345,,"[30,36)",1.959935854,1.491967822,0.988212616,1.391490446,2.564208629,3.69721732,2.478795461,1.743504736,1.560481742,1.584874323,1.265437346
"[36,42)",1.317229738,1.593469668,1.278754917,1.107271853,1.471000565,2.127320034,2.77403771,1.903039373,1.361581113,1.089937218,0.997592053,,"[36,42)",1.317229743,1.593469671,1.278754917,1.107271847,1.471000557,2.127320028,2.774037707,1.903039369,1.361581108,1.089937213,0.997592058
"[42,48)",0.637057832,0.890173008,1.170894713,1.139324398,1.078953335,1.216933053,1.547756154,1.993129894,1.40790729,0.87657625,0.594722913,,"[42,48)",0.63705783,0.890173001,1.170894715,1.139324396,1.078953339,1.216933053,1.547756149,1.993129891,1.40790729,0.876576244,0.594722913
"[48,54)",0.443577126,0.510907662,0.689279342,1.004487196,1.037258089,0.926462875,0.941938951,1.197568515,1.632138606,1.038077556,0.522250326,,"[48,54)",0.443577124,0.510907656,0.689279339,1.004487199,1.037258083,0.926462882,0.941938953,1.197568515,1.632138612,1.038077558,0.522250323
"[54,60)",0.34227222,0.324167881,0.31413233,0.491722835,0.768564853,0.754266703,0.604423721,0.59769036,0.832129717,1.197309055,0.645551511,,"[54,60)",0.342272221,0.324167876,0.314132333,0.491722836,0.768564848,0.754266702,0.604423718,0.597690362,0.83212971,1.197309053,0.645551511
"[60,Inf)",0.241592997,0.225421275,0.157500678,0.190457109,0.345144205,0.515748088,0.473761614,0.347270662,0.358514208,0.552838031,0.845500305,,"[60,Inf)",0.241592998,0.225421269,0.157500683,0.190457109,0.345144203,0.515748086,0.473761622,0.34727066,0.358514208,0.552838031,0.845500313
,,,,,,,,,,,,,,,,,,,,,,,,
home,,,,,,,,,,,,,,,,,,,,,,,,
,"[0,6)","[6,12)","[12,18)","[18,24)","[24,30)","[30,36)","[36,42)","[42,48)","[48,54)","[54,60)","[60,Inf)",,,,,,,,,,,,,
"[0,6)",1.03271958,0.77691447,0.33526403,0.33817654,0.70596841,1.06500188,0.74097387,0.3633903,0.28881272,0.34041067,0.31225139,,,,,,,,,,,,,
"[6,12)",0.75172619,1.3780539,0.71473139,0.24086537,0.29079805,0.7475571,1.06517746,0.63030348,0.29232129,0.23440774,0.26232321,,,,,,,,,,,,,
"[12,18)",0.30223666,0.66591159,1.14261132,0.52337816,0.18784072,0.26505436,0.63875056,0.79714341,0.45157588,0.20877223,0.1534694,,,,,,,,,,,,,
"[18,24)",0.32724032,0.24088581,0.56179612,1.05381703,0.49063793,0.20703501,0.27525792,0.57865667,0.6946357,0.38693977,0.15211356,,,,,,,,,,,,,
"[24,30)",0.72365344,0.3080707,0.21358706,0.51973643,0.89024592,0.47480119,0.19715204,0.22942643,0.47114696,0.55917803,0.27170859,,,,,,,,,,,,,
"[30,36)",0.98644416,0.71561597,0.27233088,0.19817214,0.42903089,0.76459764,0.4017366,0.14985168,0.17580279,0.36663436,0.40227527,,,,,,,,,,,,,
"[36,42)",0.58899976,0.87507992,0.56322682,0.22611465,0.15288614,0.3447716,0.61053142,0.3037,0.11695816,0.14357294,0.29002228,,,,,,,,,,,,,
"[42,48)",0.23493029,0.42114235,0.57166547,0.38660131,0.14469841,0.10459361,0.24700074,0.45790471,0.24293065,0.09743345,0.11201326,,,,,,,,,,,,,
"[48,54)",0.15882095,0.16613664,0.2754622,0.39475281,0.25275659,0.10437467,0.08091141,0.206637,0.42821463,0.23249504,0.07778496,,,,,,,,,,,,,
"[54,60)",0.1500567,0.10679175,0.10208567,0.17626751,0.24046782,0.17448708,0.07961825,0.06643465,0.18636934,0.38876783,0.17678309,,,,,,,,,,,,,
"[60,Inf)",0.11787548,0.10234564,0.06426592,0.05934221,0.10006383,0.16395336,0.13773308,0.06540679,0.05339779,0.15139363,0.32494735,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
work,,,,,,,,,,,,,,,,,,,,,,,,
,"[0,6)","[6,12)","[12,18)","[18,24)","[24,30)","[30,36)","[36,42)","[42,48)","[48,54)","[54,60)","[60,Inf)",,,,,,,,,,,,,
"[0,6)",0.00568785,0.0057301,0.00648037,0.0169498,0.03922499,0.06144337,0.06892081,0.06466613,0.05095933,0.02861329,0.00968254,,,,,,,,,,,,,
"[6,12)",0.00554433,0.01975742,0.01569125,0.03929558,0.06639875,0.07406253,0.07079032,0.06956076,0.06327132,0.04312683,0.01868409,,,,,,,,,,,,,
"[12,18)",0.00584198,0.01461946,0.05355323,0.12951584,0.13649207,0.12258529,0.11177952,0.11163245,0.10458058,0.07544713,0.03748379,,,,,,,,,,,,,
"[18,24)",0.01640167,0.03929892,0.1390228,0.68635877,0.60907031,0.4717309,0.41972201,0.39924848,0.35353628,0.2423307,0.11610241,,,,,,,,,,,,,
"[24,30)",0.0402076,0.07034266,0.15520031,0.64519273,1.19245973,1.05140364,0.90147402,0.80455272,0.67622096,0.45337464,0.21792466,,,,,,,,,,,,,
"[30,36)",0.05691112,0.07089804,0.12595062,0.45153677,0.95004952,1.26027099,1.10195621,0.92580565,0.7502018,0.49361211,0.23079809,,,,,,,,,,,,,
"[36,42)",0.05478512,0.05815668,0.09856308,0.3447868,0.69906904,0.94570226,1.00896516,0.86846722,0.69032308,0.44426455,0.19771286,,,,,,,,,,,,,
"[42,48)",0.04180638,0.04647758,0.08005638,0.26673845,0.50742847,0.64619469,0.70632877,0.78881496,0.66534686,0.41805503,0.17761053,,,,,,,,,,,,,
"[48,54)",0.02802303,0.03595935,0.06379436,0.20091026,0.3627728,0.44539715,0.47756406,0.56594455,0.60008111,0.38696954,0.15859018,,,,,,,,,,,,,
"[54,60)",0.01261305,0.01964777,0.03689222,0.11039194,0.19496834,0.23491779,0.24636651,0.28504932,0.31019697,0.24180024,0.10501685,,,,,,,,,,,,,
