"","[0,6)","[6,12)","[12,18)","[18,24)","[24,30)","[30,36)","[36,42)","[42,48)","[48,54)","[54,60)","[60,Inf)"
"[0,6)",0.00568784983437068,0.00573010417111952,0.00648036735468747,0.0169498043995616,0.0392249859138612,0.0614433702995723,0.0689208112437606,0.0646661336782485,0.0509593294172377,0.0286132888362713,0.00968253675971856
"[6,12)",0.00554432893263113,0.0197574222532062,0.0156912538275066,0.0392955807904125,0.0663987451491421,0.0740625335825941,0.0707903157753256,0.0695607610359599,0.0632713161085514,0.0431268294414165,0.0186840856622072
"[12,18)",0.00584197659992517,0.01461946111715,0.0535532315778572,0.12951584039582,0.136492068567872,0.12258529496182,0.11177951941538,0.111632450797532,0.104580577775035,0.0754471323337629,0.0374837916740315
"[18,24)",0.0164016680756162,0.0392989158212138,0.139022799077531,0.686358765047451,0.609070306603463,0.471730897414546,0.41972200674434,0.399248476187608,0.353536276123366,0.242330702802783,0.11610241317042
"[24,30)",0.0402076008857257,0.0703426564407992,0.155200312773321,0.645192727415811,1.19245973333743,1.05140363710084,0.901474020849716,0.8045527164677,0.676220958528435,0.453374642560514,0.217924660942981
"[30,36)",0.0569111235072108,0.0708980390821798,0.125950622559294,0.451536772399312,0.950049515145239,1.26027099407078,1.10195621366742,0.925805652434061,0.750201800318518,0.493612111302467,0.230798087173232
"[36,42)",0.0547851179478658,0.0581566790873102,0.0985630810219399,0.344786801773458,0.699069044815106,0.94570226400729,1.00896516064282,0.868467222350246,0.690323084044699,0.444264550312373,0.197712855885779
"[42,48)",0.0418063816937708,0.0464775834933555,0.0800563817223623,0.266738451108438,0.507428466352996,0.646194688632075,0.706328771960723,0.788814957331285,0.665346858132884,0.418055032159605,0.177610531656571
"[48,54)",0.0280230345555835,0.0359593518772648,0.0637943632918118,0.200910258807028,0.362772803215753,0.445397146478988,0.477564058028528,0.565944550814304,0.600081105727224,0.386969535790947,0.158590179344123
"[54,60)",0.0126130470722907,0.0196477714759523,0.0368922198049812,0.110391936445169,0.194968342612791,0.234917794615216,0.246366513705206,0.28504931877903,0.310196973520879,0.241800237341576,0.10501684721792
"[60,Inf)",0.00365517574924297,0.00728961326295565,0.0156964860069209,0.0452936195521915,0.0802564829999441,0.0940652436376704,0.0938948555899505,0.103710359055492,0.108868926735259,0.0899344012091691,0.0598574564814939
